ticker,date,open,close,volume
SPY,2024-09-03,560.47,552.08,60600113.0
SPY,2024-09-04,550.2,550.95,47224939.0
SPY,2024-09-05,550.89,549.61,44264258.0
SPY,2024-09-06,549.94,540.36,68493805.0
SPY,2024-09-09,544.65,546.41,40445822.0
SPY,2024-09-10,548.36,548.79,36394579.0
SPY,2024-09-11,548.7,554.42,75248608.0
SPY,2024-09-12,555.01,559.09,51892735.0
SPY,2024-09-13,559.71,562.01,39310501.0
SPY,2024-09-16,561.74,562.84,36656122.0
SPY,2024-09-17,565.1,563.07,49320970.0
SPY,2024-09-18,563.74,561.4,59044937.0
SPY,2024-09-19,571.01,570.98,75315470.0
SPY,2024-09-20,567.84,568.25,77503110.0
SPY,2024-09-23,569.34,569.67,44116922.0
SPY,2024-09-24,570.48,571.3,46805672.0
SPY,2024-09-25,571.14,570.04,38428587.0
SPY,2024-09-26,574.38,572.3,48336004.0
SPY,2024-09-27,573.39,571.47,42100928.0
SPY,2024-09-30,570.42,573.76,63655448.0
SPY,2024-10-01,573.4,568.62,72668778.0
SPY,2024-10-02,567.71,568.86,38097798.0
SPY,2024-10-03,567.36,567.82,40846466.0
SPY,2024-10-04,572.35,572.98,43005186.0
SPY,2024-10-07,571.3,567.8,49964690.0
SPY,2024-10-08,570.42,573.17,37398693.0
SPY,2024-10-09,573.16,577.14,37912244.0
SPY,2024-10-10,575.77,576.13,44138060.0
SPY,2024-10-11,576.05,579.58,42267994.0
SPY,2024-10-14,581.22,584.32,36217215.0
SPY,2024-10-15,584.59,579.78,54203636.0
SPY,2024-10-16,579.78,582.3,30725436.0
SPY,2024-10-17,585.91,582.35,34393714.0
SPY,2024-10-18,584.07,584.59,37416801.0
SPY,2024-10-21,583.85,583.63,36439010.0
SPY,2024-10-22,581.05,583.32,34183835.0
SPY,2024-10-23,581.26,577.99,49314574.0
SPY,2024-10-24,579.98,579.24,34979860.0
SPY,2024-10-25,581.51,579.04,47268176.0
SPY,2024-10-28,582.58,580.83,30174704.0
SPY,2024-10-29,579.85,581.77,42899661.0
SPY,2024-10-30,581.29,580.01,41435839.0
SPY,2024-10-31,575.56,568.64,60182451.0
SPY,2024-11-01,571.32,571.04,45667533.0
SPY,2024-11-04,571.18,569.81,38216975.0
SPY,2024-11-05,570.74,576.7,39478322.0
SPY,2024-11-06,589.2,591.04,68181968.0
SPY,2024-11-07,593.08,595.61,47233212.0
SPY,2024-11-08,596.17,598.19,46444893.0
SPY,2024-11-11,599.81,598.76,37586773.0
SPY,2024-11-12,598.68,596.9,43006128.0
SPY,2024-11-13,597.37,597.19,47388640.0
SPY,2024-11-14,597.32,593.35,38904109.0
SPY,2024-11-15,589.72,585.75,75988766.0
SPY,2024-11-18,586.22,588.15,37084081.0
SPY,2024-11-19,584.71,590.3,49412046.0
SPY,2024-11-20,590.38,590.5,50032576.0
SPY,2024-11-21,593.4,593.67,46750285.0
SPY,2024-11-22,593.66,595.51,38226390.0
SPY,2024-11-25,599.52,597.53,42441393.0
SPY,2024-11-26,598.8,600.65,45621288.0
SPY,2024-11-27,600.46,598.83,34000163.0
SPY,2024-11-29,599.66,602.55,30177351.0
SPY,2024-12-02,602.97,603.63,31745989.0
SPY,2024-12-03,603.39,603.91,26906629.0
SPY,2024-12-04,605.63,607.66,42787561.0
SPY,2024-12-05,607.66,606.66,28762183.0
SPY,2024-12-06,607.44,607.81,31241549.0
SPY,2024-12-09,607.69,604.68,34742738.0
SPY,2024-12-10,605.37,602.8,37234515.0
SPY,2024-12-11,605.78,607.46,28677723.0
SPY,2024-12-12,606.58,604.33,31543812.0
SPY,2024-12-13,606.4,604.21,35904730.0
SPY,2024-12-16,606,606.79,43695179.0
SPY,2024-12-17,604.19,604.29,55773545.0
SPY,2024-12-18,603.98,586.28,108248729.0
SPY,2024-12-19,591.36,586.1,85919452.0
SPY,2024-12-20,581.77,591.15,125716674.0
SPY,2024-12-23,590.89,594.69,57635828.0
SPY,2024-12-24,596.06,601.3,33160097.0
SPY,2024-12-26,599.5,601.34,41338891.0
SPY,2024-12-27,597.54,595.01,64969310.0
SPY,2024-12-30,587.89,588.22,56578757.0
SPY,2024-12-31,589.905,586.08,57052654.0
SPY,2025-01-02,589.39,584.64,50203975.0
SPY,2025-01-03,587.53,591.95,37888459.0
SPY,2025-01-06,596.27,595.36,47679442.0
SPY,2025-01-07,597.42,588.63,60393052.0
SPY,2025-01-08,588.7,589.49,47304672.0
SPY,2025-01-10,585.88,580.49,73105046.0
SPY,2025-01-13,575.77,581.39,47910060.0
SPY,2025-01-14,584.36,582.19,48420580.0
SPY,2025-01-15,590.325,592.78,56900159.0
SPY,2025-01-16,594.175,591.64,43319662.0
SPY,2025-01-17,596.96,597.58,58070628.0
SPY,2025-01-21,600.67,603.05,42532853.0
SPY,2025-01-22,605.92,606.44,48195973.0
SPY,2025-01-23,605.8,609.75,41152102.0
SPY,2025-01-24,609.81,607.97,34604693.0
SPY,2025-01-27,594.81,599.37,70361125.0
SPY,2025-01-28,600.62,604.52,44433322.0
SPY,2025-01-29,603.72,601.81,37177429.0
SPY,2025-01-30,603.96,605.04,39281255.0
SPY,2025-01-31,607.5,601.82,66671471.0
SPY,2025-02-03,592.67,597.77,65857248.0
SPY,2025-02-04,597.83,601.78,33457815.0
SPY,2025-02-05,600.64,604.22,30653149.0
SPY,2025-02-06,605.99,606.32,35771503.0
SPY,2025-02-07,606.89,600.77,50788516.0
SPY,2025-02-10,604.03,604.85,26048714.0
SPY,2025-02-11,602.55,605.31,30056740.0
SPY,2025-02-12,599.2,603.36,45076076.0
SPY,2025-02-13,604.48,609.73,40921297.0
SPY,2025-02-14,609.94,609.7,26910448.0
SPY,2025-02-18,610.88,611.49,26749030.0
SPY,2025-02-19,610.08,612.93,31011072.0
SPY,2025-02-20,611.54,610.38,36554002.0
SPY,2025-02-21,610.16,599.94,76519818.0
SPY,2025-02-24,602.02,597.21,50737213.0
SPY,2025-02-25,597.15,594.24,58266472.0
SPY,2025-02-26,595.93,594.54,43321578.0
SPY,2025-02-27,596.85,585.05,74196664.0
SPY,2025-02-28,585.56,594.18,88744106.0
SPY,2025-03-03,596.18,583.77,74249199.0
SPY,2025-03-04,579.71,576.86,109648212.0
SPY,2025-03-05,576.69,583.06,71230528.0
SPY,2025-03-06,575.48,572.71,80094868.0
SPY,2025-03-07,570.9,575.92,81158816.0
SPY,2025-03-10,567.59,560.58,99326624.0
SPY,2025-03-11,559.4,555.92,88102109.0
SPY,2025-03-12,562.17,558.87,69588167.0
SPY,2025-03-13,558.49,551.42,74079414.0
SPY,2025-03-14,556.11,562.81,62660321.0
SPY,2025-03-17,562.79,567.15,49008709.0
SPY,2025-03-18,564.8,561.02,66041422.0
SPY,2025-03-19,562.83,567.13,66555985.0
SPY,2025-03-20,563.33,565.49,62958195.0
SPY,2025-03-21,559.28,563.98,83762964.0
SPY,2025-03-24,570.8,574.08,58766795.0
SPY,2025-03-25,575.3,575.46,38355735.0
SPY,2025-03-26,575.19,568.59,52228898.0
SPY,2025-03-27,567.18,567.08,42164248.0
SPY,2025-03-28,565.53,555.66,71662653.0
SPY,2025-03-31,549.83,559.39,95328213.0
SPY,2025-04-01,557.45,560.97,54609641.0
SPY,2025-04-02,555.05,564.52,76014544.0
SPY,2025-04-03,545.11,536.7,125985998.0
SPY,2025-04-04,523.67,505.28,217965131.0
SPY,2025-04-07,489.19,504.38,256611355.0
SPY,2025-04-08,521.86,496.48,165816581.0
SPY,2025-04-09,493.44,548.62,241867317.0
